date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:51	76985/76985	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/table/datatable/button-ext/jszip.min.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/table/datatable/button-ext/jszip.min.js	(from https://designreset.com/cork/ltr/demo3/table_dt_html5.html)
15:45:51	1955/1955	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/table/datatable/button-ext/buttons.print.min.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/table/datatable/button-ext/buttons.print.min.js	(from https://designreset.com/cork/ltr/demo3/table_dt_html5.html)
15:45:51	578/578	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/table/datatable/custom_dt_miscellaneous.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/table/datatable/custom_dt_miscellaneous.css	(from https://designreset.com/cork/ltr/demo3/table_dt_miscellaneous.html)
15:45:52	6110/6110	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/table/datatable/custom_miscellaneous.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/table/datatable/custom_miscellaneous.js	(from https://designreset.com/cork/ltr/demo3/table_dt_miscellaneous.html)
15:45:52	2996/2996	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/assets/js/forms/bootstrap_validation/bs_validation_script.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/assets/js/forms/bootstrap_validation/bs_validation_script.js	(from https://designreset.com/cork/ltr/demo3/form_validation.html)
15:45:52	3410/3410	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:24%20GMT	https://designreset.com/cork/ltr/demo3/plugins/input-mask/input-mask.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/input-mask/input-mask.js	(from https://designreset.com/cork/ltr/demo3/form_input_mask.html)
15:45:53	71953/71953	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/input-mask/jquery.inputmask.bundle.min.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/input-mask/jquery.inputmask.bundle.min.js	(from https://designreset.com/cork/ltr/demo3/form_input_mask.html)
15:45:53	12574/12574	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/bootstrap-select/bootstrap-select.min.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/bootstrap-select/bootstrap-select.min.css	(from https://designreset.com/cork/ltr/demo3/form_bootstrap_select.html)
15:45:53	70755/70755	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/bootstrap-select/bootstrap-select.min.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/bootstrap-select/bootstrap-select.min.js	(from https://designreset.com/cork/ltr/demo3/form_bootstrap_select.html)
15:45:54	19095/19095	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/select2/select2.min.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/select2/select2.min.css	(from https://designreset.com/cork/ltr/demo3/form_select2.html)
15:45:54	720/720	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/select2/custom-select2.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/select2/custom-select2.js	(from https://designreset.com/cork/ltr/demo3/form_select2.html)
15:45:54	1077/1077	---M--	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/bootstrap-touchspin/jquery.bootstrap-touchspin.min.css	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/bootstrap-touchspin/jquery.bootstrap-touchspin.min.css	(from https://designreset.com/cork/ltr/demo3/form_bootstrap_touchspin.html)
15:45:54	11068/11068	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/bootstrap-touchspin/jquery.bootstrap-touchspin.min.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/bootstrap-touchspin/jquery.bootstrap-touchspin.min.js	(from https://designreset.com/cork/ltr/demo3/form_bootstrap_touchspin.html)
15:45:54	135760/135760	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/select2/select2.min.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/select2/select2.min.js	(from https://designreset.com/cork/ltr/demo3/form_select2.html)
15:45:55	2242/2242	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Mar%202020%2014:58:23%20GMT	https://designreset.com/cork/ltr/demo3/plugins/bootstrap-touchspin/custom-bootstrap-touchspin.js	D:/WebProjects/nulled/cork-demo3/designreset.com/cork/ltr/demo3/plugins/bootstrap-touchspin/custom-bootstrap-touchspin.js	(from https://designreset.com/cork/ltr/demo3/form_bootstrap_touchspin.html)
